Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Kolkata Knight Riders,Chennai Super Kings,192,190,    19.4,"      
                    20",5,3,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Chennai Super Kings,Delhi Capitals,222,136,    20,    16.5,5,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Chennai Super Kings,Mumbai Indians,187,149,    20," 
                    20",5,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Delhi Capitals,162,144,    20," 
                    20",4,8,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Rajasthan Royals,163,162,    18,"   
                    20",0,6,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Deccan Chargers,Royal Challengers Bangalore,132,123,    20,"              
                    20",7,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Kolkata Knight Riders,Pune Warriors India,136,102,    20,"      
                    20",4,8,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Delhi Capitals,Punjab Kings,145,141,    18.2,                    20,4,8,"[' HPCA Stadium', ' Dharamsala\n            ']"
Deccan Chargers,Rajasthan Royals,128,126,    18.4,"   
                    20",5,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Royal Challengers Bangalore,Delhi Capitals,215,194,    20," 
                    20",1,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Punjab Kings,Chennai Super Kings,123,120,    16.3,"      
                    20",4,7,"[' HPCA Stadium', ' Dharamsala\n            ']"
Kolkata Knight Riders,Mumbai Indians,140,108,    20,    19.1,7,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
Delhi Capitals,Punjab Kings,140,136,    19,                    20,5,8,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Kolkata Knight Riders,160,158,    20,"        
                    20",5,6,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Royal Challengers Bangalore,173,171,    19.4,"              
                    20",5,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Deccan Chargers,194,190,    20,"  
                    20",6,4,"[' IS Bindra Stadium', ' Mohali\n            ']"
Rajasthan Royals,Pune Warriors India,170,125,    20,"      
                    20",4,9,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Chennai Super Kings,Delhi Capitals,115,114,    15.2," 
                    20",1,5,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Mumbai Indians,Kolkata Knight Riders,182,155,    20,"        
                    20",1,4,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Pune Warriors India,173,138,    20,"      
                    20",3,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Chennai Super Kings,Rajasthan Royals,127,126,    18.1,"   
                    20",6,6,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Delhi Capitals,Deccan Chargers,193,187,    16.4,"  
                    20",1,4,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Royal Challengers Bangalore,Mumbai Indians,142,141,    18," 
                    20",1,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Punjab Kings,Deccan Chargers,170,145,    20,"  
                    20",5,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rajasthan Royals,Pune Warriors India,126,125,    16.2,"      
                    20",3,6,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Kolkata Knight Riders,Delhi Capitals,154,153,    18.4," 
                    20",4,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Deccan Chargers,185,181,    18.5,"  
                    20",5,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Chennai Super Kings,174,173,    20,"      
                    20",8,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Rajasthan Royals,Punjab Kings,177,134,    20,                    20,6,8,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Pune Warriors India,150,143,    20,"      
                    20",5,8,"[' Eden Gardens', ' Kolkata\n            ']"
Chennai Super Kings,Deccan Chargers,160,150,    20,"  
                    20",6,5,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Mumbai Indians,Pune Warriors India,120,119,    20,"      
                    20",9,6,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Punjab Kings,Royal Challengers Bangalore,163,158,    19.5,"              
                    20",6,5,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
